QID,Query,Target,Top3,Hit,Rank
QID,Query (Nepali + English code‑switch),Expected,"['KTM_NAT_006_section_12', 'KTM_NAT_006_section_11', 'KTM_NAT_006_section_10']",False,
Q001,"Lalitpur मा business registration application गर्दा कुन‑कुन required documents चाहिन्छ? (citizenship, ward recommendation, photos) सबै list चाहिन्छ।",LMC_MUN_004_section_2,"['KTM_NAT_006_section_12', 'KTM_NAT_006_section_10', 'KTM_NAT_006_section_11']",False,78
Q002,दर्ता भएपछि business certificate कहाँ record हुन्छ र certificate कुन format/appendix मा दिन्छ?,LMC_MUN_004_section_2,"['KTM_NAT_006_section_12', 'KTM_NAT_006_section_10', 'KTM_NAT_006_section_13']",False,123
Q003,Same owner को multiple locations छन् भने एउटै registration पुग्छ कि अलग‑अलग registration चाहिन्छ?,LMC_MUN_004_section_2,"['KTM_NAT_006_section_12', 'KTM_NAT_006_section_10', 'KTM_NAT_006_section_11']",False,72
Q004,Annual renewal deadline कति हो? fiscal year भित्रै renewal गर्नुपर्ने कि specific months?,LMC_MUN_004_section_2,"['LMC_MUN_011_section_2', 'KTM_NAT_006_section_12', 'LMC_MUN_011_section_3']",False,125
Q005,Bhaktapur नक्सा पास application मा कुन‑कुन documents चाहिन्छ? ‘required documents’ exact list चाहिन्छ।,BKT_MUN_001_section_3,"['KTM_NAT_006_section_11', 'KTM_NAT_006_section_12', 'KTM_NAT_006_section_10']",False,111
Q006,नक्सा pass certificate निकाल्दा fee कति गुणा लाग्छ? registration vs pass certificate difference स्पष्ट गर।,BKT_MUN_001_section_3,"['KTM_NAT_006_section_12', 'KTM_NAT_006_section_10', 'KTM_NAT_006_section_11']",False,114
Q007,नक्सा पास/सूचीकरण भएपछि घर‑भवन बेच्न वा भाडामा दिन मिल्छ? any restriction?,BKT_MUN_001_section_3,"['KTM_NAT_001_section_4', 'KTM_NAT_006_section_10', 'KTM_NAT_006_section_11']",False,117
Q008,Kathmandu मा property tax लगाउने आधार के हो? कुन annex/schedule ले rate तय गर्छ?,KTM_FIN_002_section_2,"['KTM_NAT_006_section_10', 'KTM_NAT_006_section_11', 'KTM_NAT_004_section_4']",False,35
Q009,Property tax slab मा १–२ करोडको rate कति? exact % चाहिन्छ।,KTM_FIN_002_section_9,"['KTM_NAT_006_section_10', 'KTM_MUN_009_chunk_7', 'KTM_MUN_009_chunk_8']",False,25
Q010,Kathmandu public parking मा two‑wheeler vs four‑wheeler fee कति? first half‑hour र per half‑hour rate चाहिन्छ।,KTM_FIN_002_section_63,"['KTM_NAT_006_section_10', 'KTM_NAT_006_section_11', 'KTM_FIN_002_section_63']",True,3
Q011,Signboard/advertisement को fee per sq ft कति? flex vs digital board फरक rate चाहिन्छ।,KTM_FIN_002_section_61,"['KTM_NAT_006_section_10', 'KTM_FIN_002_section_61', 'KTM_NAT_006_section_11']",True,2
